N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_n_hits,ppo_n_hits,png_miss_mean,ppo_miss_mean,png_miss_std,ppo_miss_std,png_time_mean,ppo_time_mean,png_energy_mean,ppo_energy_mean
2.5000,0.3000,sine,3,0.6000,1.0000,30,50,0.3415,0.0000,0.4620,0.0000,6.4321,6.4301,1031.6826,2092.6707
2.5000,0.3000,sine,5,0.4600,1.0000,23,50,0.7019,0.0000,0.7869,0.0000,6.4372,6.4352,1738.2660,3679.7849
2.5000,0.3000,sine,7,0.3000,0.9400,15,47,1.1186,0.0377,1.0961,0.1518,6.4460,6.4442,2425.1259,5754.7659
2.5000,0.3000,sine,10,0.1800,0.7400,9,37,1.7234,0.2319,1.5841,0.4212,6.4658,6.4644,3398.8415,9366.9633
2.5000,0.3000,sine,12,0.1600,0.6000,8,30,2.1154,0.4587,1.8724,0.6273,6.4830,6.4817,3876.4977,11995.2604
2.5000,0.3000,sine,15,0.1200,0.4000,6,20,2.6491,0.9212,2.1952,0.9503,6.5139,6.5128,4755.5239,15567.5569
2.5000,0.3000,sine,18,0.1200,0.2800,6,14,2.8657,1.4554,2.4740,1.3243,6.5506,6.5489,5736.1286,18797.9512
2.5000,0.3000,sine,20,0.0600,0.2400,3,12,3.0144,1.8188,2.5471,1.5860,6.5772,6.5752,6038.1599,20872.7566
2.5000,0.4000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4315,6.4299,339.7905,1140.9148
2.5000,0.4000,step,3,0.2800,1.0000,14,50,1.3781,0.0000,1.0908,0.0000,7.1872,7.1670,13127.7031,3188.7561
2.5000,0.4000,step,5,0.2000,1.0000,10,50,4.3648,0.0000,4.2823,0.0000,7.2192,7.1974,22715.8914,5152.5992
2.5000,0.4000,step,7,0.0600,1.0000,3,50,9.3769,0.0000,4.8121,0.0000,7.1518,7.1440,25456.1968,7830.9788
2.5000,0.4000,step,10,0.0400,1.0000,2,50,13.8012,0.0000,6.3593,0.0000,7.1256,7.1346,29885.3290,14017.1100
2.5000,0.4000,step,12,0.0800,1.0000,4,50,12.9249,0.0000,7.4494,0.0000,7.1396,7.1519,31122.9985,18937.9541
2.5000,0.4000,step,15,0.0000,1.0000,0,50,13.7751,0.0000,6.9987,0.0000,7.1114,7.1291,25834.6810,27747.6991
2.5000,0.4000,step,18,0.0200,0.9000,1,45,15.1645,0.0586,6.2867,0.1762,7.1161,7.1416,21183.2290,37844.1458
2.5000,0.4000,step,20,0.0000,0.6600,0,33,11.9944,0.4080,5.9525,0.5974,7.1083,7.1304,19075.6520,46049.5885
2.5000,0.4000,sine,3,0.6200,1.0000,31,50,0.3545,0.0000,0.5335,0.0000,6.4325,6.4301,770.4442,2092.6707
2.5000,0.4000,sine,5,0.4000,1.0000,20,50,0.7642,0.0000,0.8872,0.0000,6.4375,6.4352,1238.8850,3679.7849
2.5000,0.4000,sine,7,0.3200,0.9400,16,47,1.1548,0.0377,1.2308,0.1518,6.4463,6.4442,1695.1782,5754.7659
2.5000,0.4000,sine,10,0.1800,0.7400,9,37,1.7804,0.2319,1.7447,0.4212,6.4659,6.4644,2334.0647,9366.9633
2.5000,0.4000,sine,12,0.1400,0.6000,7,30,2.1638,0.4587,2.0721,0.6273,6.4833,6.4817,2688.1379,11995.2604
2.5000,0.4000,sine,15,0.1200,0.4000,6,20,2.7347,0.9212,2.4234,0.9503,6.5141,6.5128,3175.6007,15567.5569
2.5000,0.4000,sine,18,0.0800,0.2800,4,14,3.0787,1.4554,2.6302,1.3243,6.5507,6.5489,3830.8330,18797.9512
2.5000,0.4000,sine,20,0.1000,0.2400,5,12,3.1348,1.8188,2.8065,1.5860,6.5774,6.5752,4240.3003,20872.7566
2.5000,0.5000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4319,6.4299,361.7101,1140.9148
2.5000,0.5000,step,3,0.1600,1.0000,8,50,2.7345,0.0000,1.8229,0.0000,7.1883,7.1670,14844.5776,3188.7561
2.5000,0.5000,step,5,0.1200,1.0000,6,50,6.2054,0.0000,5.6060,0.0000,7.2204,7.1974,25693.4116,5152.5992
2.5000,0.5000,step,7,0.0200,1.0000,1,50,11.9286,0.0000,6.3658,0.0000,7.1488,7.1440,24745.2578,7830.9788
2.5000,0.5000,step,10,0.0000,1.0000,0,50,16.7372,0.0000,7.0417,0.0000,7.1191,7.1346,24960.2662,14017.1100
2.5000,0.5000,step,12,0.0000,1.0000,0,50,15.3661,0.0000,7.3473,0.0000,7.1343,7.1519,25915.0687,18937.9541
2.5000,0.5000,step,15,0.0000,1.0000,0,50,14.8988,0.0000,7.6455,0.0000,7.1078,7.1291,20301.1218,27747.6991
2.5000,0.5000,step,18,0.0000,0.9000,0,45,15.4655,0.0586,6.4243,0.1762,7.1138,7.1416,15837.6084,37844.1458
2.5000,0.5000,step,20,0.0200,0.6600,1,33,11.5453,0.4080,6.1325,0.5974,7.1083,7.1304,14657.1007,46049.5885
2.5000,0.5000,sine,3,0.6800,1.0000,34,50,0.3354,0.0000,0.5720,0.0000,6.4327,6.4301,658.5717,2092.6707
2.5000,0.5000,sine,5,0.4800,1.0000,24,50,0.7127,0.0000,0.9480,0.0000,6.4378,6.4352,999.5406,3679.7849
2.5000,0.5000,sine,7,0.3200,0.9400,16,47,1.1139,0.0377,1.2994,0.1518,6.4467,6.4442,1340.8690,5754.7659
2.5000,0.5000,sine,10,0.2800,0.7400,14,37,1.6693,0.2319,1.8334,0.4212,6.4664,6.4644,1815.4494,9366.9633
2.5000,0.5000,sine,12,0.1800,0.6000,9,30,2.0655,0.4587,2.1434,0.6273,6.4838,6.4817,2055.5024,11995.2604
