#{"t_start": 1773656329.683753, "env_id": "None"}
r,l,t
-4012.0803,340,71.325958
-943.3995,257,71.347242
-3471.2056,352,71.401939
-803.08295,326,71.665353
-1164.0073,266,71.67237
-7077.3984,424,71.677773
-5535.3477,389,71.746994
-3430.6377,342,73.809862
-2149.8333,317,73.850504
-4308.2397,418,73.874697
-3980.9526,424,73.88853
-1718.2588,250,74.066509
-1535.1627,321,74.214624
-3623.7698,388,74.261115
-4142.063,406,74.321055
-2719.0505,303,74.399842
-1343.8175,256,74.535001
-679.6049,228,74.561979
-3427.346,412,74.6494
-2718.7383,353,74.767165
-1120.484,302,74.853649
-1716.8962,292,74.969
-4140.6167,404,74.99691
-2911.7927,337,75.145539
-1877.3293,354,75.248368
-2021.8495,353,75.385502
-3038.1626,420,75.428087
-1830.4614,316,75.479819
-2164.3618,258,75.652225
-4408.7935,424,75.69095
-934.041,274,75.709441
-5636.794,458,77.731826
-3615.5525,349,77.798645
-855.83545,352,77.864506
-6032.09,404,77.900129
-1715.1807,243,77.997756
-921.7623,295,78.186847
-1110.6058,303,78.230946
-4290.6523,426,78.263483
-1170.5577,267,78.289898
-2184.6438,312,78.517744
-1901.6356,321,78.605166
-3470.915,382,78.637388
-2610.8652,352,78.663124
-1550.3436,259,78.910719
-3606.019,397,78.941125
-2838.8281,410,79.032023
-6592.7803,406,79.091229
-759.7377,252,79.173698
-5319.399,408,79.360352
-2067.4321,348,79.454037
-1500.3068,403,79.456156
-2451.3076,311,79.495856
-583.89246,246,81.543793
-2821.316,399,81.575167
-6189.5996,387,81.669059
-6781.261,444,81.740832
-544.0223,257,81.872659
-2266.3125,293,81.884226
-2162.4568,355,82.051473
-1703.4675,380,82.138949
-1236.7119,303,82.18698
-2385.1812,342,82.241996
-2973.0024,373,82.437148
-1399.9462,295,82.491974
-4236.015,402,82.553697
-3654.3892,388,82.639982
-426.83395,241,84.412429
-7686.6665,467,84.594552
-1979.9366,356,84.596475
-899.9033,244,84.662906
-2285.2148,384,84.705289
-1139.3184,272,84.873997
-1616.6525,397,85.016377
-1838.8646,320,85.055
-2892.7178,417,85.117297
-2033.4258,249,85.298756
-6911.709,432,85.364221
-1413.0382,220,85.368227
-1990.6288,349,87.116812
-907.4578,232,87.308228
-1900.5388,380,87.401054
-2710.2524,334,87.412292
-4677.992,345,87.506439
-356.91376,225,87.63592
-2499.9612,415,87.739277
-1969.1,245,87.756151
-4967.5845,462,87.885745
-2451.568,303,87.943878
-1937.5023,341,88.093022
-1982.4144,427,88.200821
-2356.1338,383,88.349188
-490.59717,247,88.35359
-5587.733,465,88.377314
-1082.1287,250,88.474902
-2007.616,271,88.65355
-2894.7012,356,88.78627
-1669.1975,279,88.796171
-4385.8867,429,88.84663
-1439.2196,247,88.94001
-363.15973,218,89.07999
-1861.0022,381,89.202561
-3307.271,412,89.229297
-2135.1038,403,90.972615
-2346.8628,332,91.05079
-634.05566,237,91.10499
-455.74677,316,91.164262
-655.2372,267,91.267717
-1421.2565,323,91.399627
-4066.7632,425,91.553953
-1580.4279,381,91.56557
-1332.771,309,91.59757
-2108.6184,420,91.831177
-949.91797,325,91.903607
-1008.77856,350,91.958909
-7522.248,467,92.038983
-1367.8942,284,92.126758
-1124.0884,224,92.133206
-1464.4617,314,92.286617
-691.642,256,92.402512
-1166.3309,294,92.447186
-3096.5776,397,92.457282
-578.8659,282,92.578334
-2582.8188,323,92.786608
-2376.6099,392,92.801353
-2741.6008,387,92.842606
-2169.2344,409,93.00467
-847.1945,280,94.712089
-3641.9077,369,94.807193
-1814.7255,357,94.853738
-1016.36426,277,95.019574
-3324.4646,371,95.027564
-1345.5402,238,95.055088
-910.3211,285,95.147037
-1235.466,304,95.350362
-1020.35297,286,95.369168
-2313.1675,423,95.490649
-3116.4197,412,95.599792
-788.13306,268,95.637141
-2869.1177,352,95.743333
-1275.3402,333,95.837241
-1633.8815,241,95.887456
-893.7818,235,95.993248
-2021.1975,380,96.001273
-1143.3993,308,96.159672
-3410.4426,307,96.210669
-2040.9769,317,96.332332
-3908.4565,411,96.435043
-1350.2198,239,96.483295
-4007.0256,347,96.549385
-3653.7017,368,96.77279
-1314.6753,374,98.590461
-4833.108,476,98.673388
-2199.7107,389,98.691219
-641.1297,249,98.747052
-1198.4342,276,98.911666
-1354.3912,332,99.049304
-987.72125,311,99.069984
-7315.8345,422,99.127065
-1403.9276,312,99.234766
-2325.0303,309,99.385445
-3380.9473,346,99.400911
-3374.9875,415,99.553606
-1052.4066,347,99.593844
-361.4334,268,99.689636
-1543.3623,362,99.803556
-1897.0178,241,99.867103
-4677.565,422,100.016604
-1177.9243,381,100.080791
-3183.8867,327,100.134341
-2637.4958,316,100.184166
-1255.9471,300,100.323158
-1445.9956,272,100.421397
-1044.6421,420,100.517559
-2145.5435,334,100.53762
-1721.7826,253,102.32595
-3866.5532,450,102.342111
-5910.073,402,102.398595
-3138.2622,396,102.523018
-1782.737,389,102.754539
-260.21985,239,102.76763
-5392.14,442,102.820783
-1632.1638,412,102.83532
-175.31212,222,103.00131
-1360.0922,399,103.17587
-2359.402,404,105.03358
-3023.423,428,105.076165
-1775.2694,341,105.149536
-1979.0756,255,105.309394
-1251.5237,367,105.353804
-625.68695,276,105.372781
-2054.5552,406,105.579681
-1194.7269,275,105.663051
-880.3131,308,105.679662
-2866.5437,367,105.697255
-1048.4454,258,105.872917
-662.8788,239,105.939674
-1240.932,292,106.035268
-4107.5137,365,106.096481
-1123.3698,326,106.258356
-2117.9712,310,108.060198
-690.24585,274,108.092942
-1604.303,417,108.095567
-1499.8807,244,108.205035
-601.3055,251,108.367351
-1400.9377,306,108.403085
-1439.0184,326,108.445163
-1810.89,401,108.621618
-1365.3657,256,108.633195
-1109.4225,313,108.765556
-3967.8223,454,108.870971
-1657.122,287,108.928063
-5841.587,435,109.067522
-2167.506,307,109.082373
-729.5462,228,109.162783
-4878.727,438,109.326944
-1032.0753,286,109.369125
-3324.2632,353,109.455154
-1959.6973,405,109.589393
-2529.2678,298,109.63761
-1830.5647,296,109.677113
-1386.8959,255,109.854333
-1734.8951,433,109.904166
-413.67633,283,109.972102
-3171.5503,324,109.974172
-1260.3652,408,112.097547
-1264.9767,409,112.150167
-1715.5938,399,112.213812
-3625.9292,416,112.23375
-907.16376,302,112.42808
-1173.5995,227,112.459513
-1848.1516,401,112.586346
-1839.9253,366,112.633582
-1234.839,307,112.795419
-1618.7122,404,112.867154
-1116.3246,248,112.900603
-1728.2675,370,112.987079
-3248.0674,353,113.160765
-1478.435,268,113.174832
-1950.4634,410,113.289412
-1100.9215,258,113.45534
-4435.953,455,113.46639
-1015.63245,342,113.5233
-1952.8094,368,113.680257
-479.57144,245,113.779966
-2232.5122,388,113.854862
-3794.1235,379,113.856877
-1167.0846,232,113.920496
-777.6561,311,114.099214
-1553.6923,314,115.800947
-1704.8334,352,115.926292
-3980.5317,421,115.931606
-1045.7,217,116.049277
-1156.0575,366,116.122538
-1350.1346,284,116.256386
-1154.6996,354,116.325657
-4753.029,379,116.484316
-1115.1613,393,116.578355
-910.1763,270,116.62606
-3815.5374,370,116.664465
-533.5343,250,116.757389
-738.3999,236,116.828856
-887.26697,252,116.887565
-1005.36664,243,117.007492
-4287.6113,385,117.06465
-770.65735,244,117.081641
-695.10803,233,117.258184
-1251.7944,363,117.275282
-1410.7002,260,117.362284
-4910.945,439,117.531365
-2106.6262,387,117.664346
-1812.3616,429,117.72778
-955.22644,252,117.799211
-1431.5254,427,117.813012
-598.19336,295,119.710383
-1622.9541,241,119.820669
-2680.2004,414,119.93169
-4015.5886,384,119.971627
-1927.6805,335,120.104794
-1627.626,345,120.205216
-248.90527,265,120.219504
-2795.5928,342,120.342513
-2520.4585,356,120.47999
-2524.661,316,120.537133
-3836.827,441,120.675362
-4009.451,393,120.741841
-1351.163,281,120.764566
-1400.0582,329,120.871907
-678.3684,266,121.025766
-1885.8931,345,121.039343
-658.4052,262,121.044373
-723.1831,230,121.116643
-613.22473,218,121.345087
-861.2256,375,121.431917
-2125.0815,407,121.458006
-5854.382,440,121.477458
-583.52844,289,121.631945
-547.24774,227,121.684319
-1275.9558,252,121.730909
-2002.8123,328,121.76109
-779.0586,281,123.61903
-1349.5055,305,123.717945
-1772.3933,369,123.838139
-3343.2163,389,123.888626
-904.5435,304,123.965625
-1398.3782,269,124.121782
-6312.295,418,124.162797
-799.43713,254,126.176616
-1976.3599,340,126.194333
-2160.2153,326,126.416011
-2465.7668,347,126.477676
-2643.1665,415,126.639053
-3666.364,434,126.643513
-1506.706,241,126.672719
-768.8186,328,126.83326
-2022.7535,370,127.047403
-1829.1908,394,127.077589
-3396.0906,409,127.126544
-4013.6943,418,127.294844
-3739.915,365,127.445271
-723.7683,373,127.482671
-1511.6804,335,127.487676
-3386.88,374,127.688466
-405.27814,230,127.719414
-1426.2433,339,129.562801
-3690.4758,396,129.583051
-2231.6787,288,129.721995
-863.88416,288,129.753868
-1005.77716,415,130.034545
-2849.4163,437,130.040466
-1560.1592,301,130.049163
-1992.4048,311,130.087227
-1774.1989,313,130.3709
-2000.4055,335,130.389405
-1005.08154,369,130.44159
-851.8943,387,130.500081
-170.43384,223,130.67238
-873.004,290,130.674871
-544.3713,278,130.679237
-986.34674,308,130.821071
-1140.9185,234,130.91766
-744.8709,268,130.956612
-4300.3315,371,131.05803
-1627.5413,305,131.136306
-1486.9822,273,131.242817
-668.49243,270,131.337989
-5013.8257,463,131.397652
-428.18915,306,131.4534
-3183.3962,358,133.286178
-231.09758,310,133.345257
-2898.9226,414,133.5386
-2461.457,384,133.563372
-1651.9706,372,133.706392
-1973.3853,367,133.750473
-309.7397,232,133.780455
-744.0099,274,133.848361
-467.51526,257,133.981478
-2548.5486,352,134.116332
-4038.9573,373,134.164362
-1839.2532,428,134.290022
-1612.7922,225,134.346002
-1987.901,395,134.384651
-1031.8945,267,134.448472
-1127.8676,324,134.63289
