time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
111,28,2054,-2331.184326171875,229376,337.33,13975.883869934081,5586.16845703125,270,-1.4065599365159869,0.0003,0.6451611518859863,0.040185546875,0.99045729637146,0.2,-0.003455515006862697,0.004035368,,
115,29,2060,-2166.322265625,237568,329.8,11778.712404632568,2809.384033203125,280,-1.4275301111862064,0.0003,0.6603975892066956,0.01480712890625,1.0187435150146484,0.2,-0.0011368703246262158,0.0017720148,,
,,,,240000,,8179.888956832886,4293.49609375,290,-1.4376433644443751,0.0003,0.7127002477645874,0.0221435546875,1.0204179286956787,0.2,-0.0021841884532477706,0.003987843,357.9,-2062.1484375
120,30,2032,-2261.47509765625,245760,334.0,,,,,,,,,,,,,
124,31,2036,-2086.47412109375,253952,329.54,14189.264511108398,6761.263671875,300,-1.4393132539466023,0.0003,0.6924270391464233,0.04288330078125,1.023703932762146,0.2,-0.0032782079368189445,0.0055240532,,
128,32,2042,-2122.697509765625,262144,333.37,8325.821523284912,3935.65625,310,-1.441039702296257,0.0003,0.7650821208953857,0.02921142578125,1.020872712135315,0.2,-0.0024420281002676346,0.0037374962,,
132,33,2046,-2174.880615234375,270336,338.3,12126.006364440918,9467.890625,320,-1.4408318936824798,0.0003,0.7383674383163452,0.0144775390625,1.022544503211975,0.2,-0.0012449975289200665,0.0015551612,,
135,34,2051,-2065.6279296875,278528,336.74,9238.474794769287,4182.859375,330,-1.4371617184951901,0.0003,0.7853537797927856,0.03096923828125,1.0176118612289429,0.2,-0.002997834209236316,0.0033435284,,
,,,,280000,,8803.840673065186,5445.80908203125,340,-1.4329172974452375,0.0003,0.7826557755470276,0.01966552734375,1.010480523109436,0.2,-0.0015216322619380663,0.0022385905,322.85,-1546.616943359375
141,35,2029,-1929.371826171875,286720,336.26,,,,,,,,,,,,,
144,36,2034,-1740.2701416015625,294912,331.82,4536.451527023315,1627.9320068359375,350,-1.4348032658919692,0.0003,0.8639791011810303,0.0207763671875,1.022257924079895,0.2,-0.00174297494959319,0.0022628251,,
148,37,2038,-1674.8421630859375,303104,328.98,5764.222896194458,2734.65869140625,360,-1.4363342694938184,0.0003,0.8516989946365356,0.00921630859375,1.0114459991455078,0.2,-0.0005708956747184857,0.0010418528,,
152,38,2041,-1581.078125,311296,331.02,6742.505884170532,2558.244384765625,370,-1.432641431130469,0.0003,0.8518112897872925,0.0217041015625,1.014932632446289,0.2,-0.0017453065102017717,0.0035556518,,
156,39,2045,-1648.9603271484375,319488,336.15,6720.818181610108,3618.276123046875,380,-1.4294995725154878,0.0003,0.8413391709327698,0.01387939453125,1.006876826286316,0.2,-0.0009356824069982394,0.0034101196,,
,,,,320000,,6247.230731964111,3178.435791015625,390,-1.420494388230145,0.0003,0.8599150776863098,0.03548583984375,1.001936435699463,0.2,-0.002824327387861558,0.003946807,341.6,-1224.418212890625
161,40,2026,-1620.0474853515625,327680,341.66,,,,,,,,,,,,,
165,41,2031,-1626.6885986328125,335872,348.86,3074.4315450668337,1496.3515625,400,-1.4136455129832028,0.0003,0.9162260890007019,0.0107421875,0.9914380311965942,0.2,-0.0016548514824535232,0.0026783664,,
169,42,2035,-1736.2615966796875,344064,352.93,7414.5979885101315,3729.56982421875,410,-1.4086601093411446,0.0003,0.8595622181892395,0.00960693359375,0.9883801937103271,0.2,-0.001261445451018517,0.0015124673,,
172,43,2039,-1753.78759765625,352256,354.44,10333.54817352295,3979.596435546875,420,-1.400458199903369,0.0003,0.8597943782806396,0.01988525390625,0.9783875942230225,0.2,-0.001259407440375071,0.0033094573,,
,,,,360000,,5866.649601745606,3378.606689453125,430,-1.3995061803609132,0.0003,0.8975957036018372,0.014453125,0.9836088418960571,0.2,-0.0006672392191831023,0.0023753713,357.05,-1479.0606689453125
178,44,2020,-1801.4620361328125,360448,350.98,,,,,,,,,,,,,
182,45,2023,-1820.127685546875,368640,346.1,4629.996790885925,2497.0302734375,440,-1.3930223675444722,0.0003,0.9087008237838745,0.02486572265625,0.969933807849884,0.2,-0.002093994164533797,0.0048370296,,
185,46,2027,-1564.4041748046875,376832,337.34,7328.994376373291,3382.93017578125,450,-1.3851985942572356,0.0003,0.8785991668701172,0.0500244140625,0.9653127193450928,0.2,-0.0036594995832274434,0.0050341003,,
189,47,2028,-1486.5914306640625,385024,332.06,2739.5730451583863,920.9567260742188,460,-1.378755121678114,0.0003,0.9280929565429688,0.03919677734375,0.9576998353004456,0.2,-0.001782874092896236,0.004969607,,
193,48,2031,-1401.01806640625,393216,333.98,6517.2386264801025,2394.280517578125,470,-1.3728851759806275,0.0003,0.8780146241188049,0.0157470703125,0.9546289443969727,0.2,-0.001113632144188159,0.0013387412,,
,,,,400000,,3697.025158882141,1612.681396484375,480,-1.3717186799272896,0.0003,0.9317479133605957,0.0117431640625,0.9543232321739197,0.2,-0.0007111196584446589,0.0012641056,342.25,-1088.655517578125
199,49,2015,-1268.64013671875,401408,329.34,,,,,,,,,,,,,
202,50,2017,-1284.4197998046875,409600,329.91,2439.470671463013,1336.8355712890625,490,-1.3738484216853977,0.0003,0.9244039058685303,0.01488037109375,0.9564796090126038,0.2,-0.0012348864611340105,0.0012166502,,
